coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Mar 20 01:59:33 +0000 2020,,,,0,1240820240310624256,,,,en,,,529,1240812041884946433,SBalaghi,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @SBalaghi: @nycsouthpaw So a bunch of Republican Senators got hearings about how bad the corona virus pandemic might become -- and they…,https://twitter.com/sbonnin/status/1240820240310624256,Fri Sep 19 19:59:33 +0000 2008,sbonnin,false,Live to eat and dance,8212,1669,2483,103,"California, USA",Shari,sbonnin,49797,,,false
,Fri Mar 20 02:08:24 +0000 2020,,,,0,1240822468899635206,,,,en,,,14557,1240719498191056899,pattonoswalt,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @pattonoswalt: this incompetent racist asshole,https://twitter.com/LindaS4810/status/1240822468899635206,Sat Jun 20 18:48:00 +0000 2009,LindaS4810,false,,839961,1468,931,7,,Linda S.🌺,LindaS4810,54374,,,false
,Fri Mar 20 00:55:09 +0000 2020,,,,0,1240804034371399680,,,,en,,,5163,1239935044279390210,heunoras,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @heunoras: looks like the corona virus is just Earth's white blood cell,https://twitter.com/jellojoon/status/1240804034371399680,Sat Dec 28 12:36:32 +0000 2019,jellojoon,false,close,15269,54,53,0,,jellojoon,jellojoon,15346,,,false
,Thu Mar 19 20:57:57 +0000 2020,,,https://twitter.com/Amy_Siskind/status/1240728118656143360,0,1240744342983077888,,,,en,,false,11,1240744256639324161,Scattered211,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Scattered211: SCREAMING and throwing paintbrushes https://t.co/AHSKdwtkh3,https://twitter.com/ChelleMyBelle4/status/1240744342983077888,Wed Aug 28 16:51:31 +0000 2019,ChelleMyBelle4,false,Boy mom. Dog lover. Trump hater. I do what I want. F-bomb mom. 100% Bitch. I block MAGAts. #Resist. Democrat for life! #FBR,14624,1919,3125,0,PNW,ChelleMyBelle,ChelleMyBelle4,6832,,,false
,Fri Mar 20 00:55:39 +0000 2020,,,,0,1240804158845771776,,,,en,,,70797,1240387230037876736,goodbeanaltalt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @goodbeanaltalt: holy shit I hate every person in this video,https://twitter.com/multirighthere/status/1240804158845771776,Mon Feb 04 00:16:59 +0000 2019,multirighthere,false,"𝗆𝖾: 𝖺𝗋𝖾 𝗎 𝗌𝗍𝗂𝗅𝗅 𝗍𝖺𝗅𝗄𝗂𝗇𝗀 𝗍𝗈 𝗎𝗋𝗌𝖾𝗅𝖿???
.
..
...
𝗆𝖾: 𝗒𝖾𝗌.",89477,480,579,9,,ᴍɪɴᴀ: ɴsғʀ | ✨💙🦋,multirighthere,53335,,http://stream-queen-desire.com,false
,Fri Mar 20 00:33:08 +0000 2020,,,,0,1240798494916349958,,,,en,,,14557,1240719498191056899,pattonoswalt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @pattonoswalt: this incompetent racist asshole,https://twitter.com/wannabeamber/status/1240798494916349958,Sat Apr 01 00:54:12 +0000 2017,wannabeamber,false,she/they • real life sunflower • alien baby • stay.home.dear. • 18+ • buy my nudes,87776,172,263,1,where the wild things are ,wannabe amber rose,wannabeamber,13929,,,false
,Fri Mar 20 02:33:57 +0000 2020,,,,0,1240828899384111104,smritiirani,1240826569985147000,130104041,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@smritiirani @Uppolice @myogiadityanath U mean suppressing  Corona is good?,https://twitter.com/Mindfreak_abhi/status/1240828899384111104,Mon May 07 11:37:21 +0000 2012,Mindfreak_abhi,false,"💢💢Graduate for a reason. Waiting for a breakthrough.follow=followback
logic=discussion💥💥🐅🐅🐅",1649,64,393,0,HOWRAH,💢💥💢Mindfreak💢💥💢,Mindfreak_abhi,2465,,,false
,Thu Mar 19 21:30:09 +0000 2020,,,,0,1240752445778726916,,,,en,,,33650,1240701140141879298,jabinbotsford,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @jabinbotsford: Close up of President @realDonaldTrump notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",https://twitter.com/kathrynswartz/status/1240752445778726916,Tue Jun 10 16:19:20 +0000 2008,kathrynswartz,false,Shopping. Media. Tech. Chicago-Los Angeles-Chicago. Recovering journalist. Fan of @fakenickrees. #mizzou #resist,2910,1010,1355,44,"Chicago, IL",there’s always a tweet,kathrynswartz,29798,,http://www.kathrynswartz.com,false
,Thu Mar 19 22:38:54 +0000 2020,TrumpLiedPeopleDied,,https://twitter.com/jabinbotsford/status/1240701140141879298,0,1240769744493568011,,,,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Using racism to distract from his incompetence. Classic Trump.

#TrumpLiedPeopleDied https://t.co/dKszv4PZKV",https://twitter.com/morvjn/status/1240769744493568011,Mon Mar 15 12:02:42 +0000 2010,morvjn,false,-.-,352056,1768,4997,293,,Morvjn,morvjn,432430,,,false
,Thu Mar 19 22:39:16 +0000 2020,,,https://twitter.com/jabinbotsford/status/1240701140141879298,0,1240769837795880960,,,,en,,false,14557,1240719498191056899,pattonoswalt,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @pattonoswalt: this incompetent racist asshole https://t.co/xrEh1klVt8,https://twitter.com/Ulan_ka/status/1240769837795880960,Sat Sep 24 14:05:27 +0000 2011,Ulan_ka,false,"Politik, Mensch, Humor & Leben · 👫🏡🐈🚴 · 🇩🇪🇬🇧🇫🇷 #Karlsruhe · war🏴‍☠️-Stadtrat · Alles Satire, auch diese Bio! Du bist Schuld wenn's so bleibt!",4847,386,175,37,"Karlsruhe, Deutschland",U.Lancier,Ulan_ka,24638,,,false
,Fri Mar 20 02:06:28 +0000 2020,,,,0,1240821983656529921,,,,en,,,282055,1240335912329977858,MakedaMorrison,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @MakedaMorrison: Day 5: We have rediscovered farming,https://twitter.com/johenriquew/status/1240821983656529921,Sun Jan 08 00:27:17 +0000 2017,johenriquew,false,sofro,8635,889,1365,0,santa catarina,José Henrique 🏳️‍🌈🍊,johenriquew,6400,,,false
,Thu Mar 19 21:12:16 +0000 2020,,,https://twitter.com/CBSNews/status/1240371160078000128,0,1240747942757027840,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","If your flocking to Florida for Spring Break, your fucking dumb ass the ppl who reside their. I wouldn’t be surprised if the disease gets transmutated https://t.co/MNDfGue3qb",https://twitter.com/ODrued/status/1240747942757027840,Tue Jan 31 22:19:58 +0000 2017,ODrued,false,#Musician #Artist #OnePieceFan #ThePromisedNeverlandFan #SimpsonFan #Husband And Loving Father,155,225,318,1,USA,Operation: Drued,ODrued,11884,,https://plus.google.com/114991980429959348917,false
